,category,store,id,review_spell_check,star
0,한식,꽃돼지한식,pa**님,김치찌개랑 고등어 먹었는데 배달도 빨리 왔고 너무 맛있게 먹었습니다 또 여기서 시켜 먹으려고요,5
1,한식,꽃돼지한식,pi**님,배달 빠르고요 조금 간이 센 거 빼고는 먹을만해요,5
2,한식,꽃돼지한식,oz**님,미역국 맛있었고 고등어도 괜찮았습니다 너무 맛있게 잘 먹었습니다,5
3,한식,꽃돼지한식,te**님,아주 맛있고 배달이 빨라서 좋아요,5
4,한식,꽃돼지한식,wl**님,내 입에 딱 맞는 맛입니다,5
5,한식,꽃돼지한식,wl**님,정말 정말 맛있네요,5
6,한식,꽃돼지한식,ch**님,사장님 주방장님 너무 맛있게 잘 먹었어요 진짜 배 터지게 먹었어요    서비스로 김치부침개도 주시고  정말 너무 맛있었다는 말만 도리탕 양념은 다음날에 밥 비벼 먹으려고 양념만 따로 보관을  히히 감사합니다,5
7,한식,꽃돼지한식,ki**님,맛있게 잘 먹었습니다,5
8,한식,꽃돼지한식,ha**님,한식은 맛있어서 항상 여기 이용해요,5
9,한식,꽃돼지한식,wh**님,둘 다 너무 맛있어요 ,5
10,한식,꽃돼지한식,me**님,항상 맛있어요 배달도 항상 신경 써주시고요,5
11,한식,꽃돼지한식,se**님,금방 갖다 주시고 부침개도 맛나요,5
12,한식,꽃돼지한식,he**님,양도 푸짐하고 맛있어요,5
13,한식,꽃돼지한식,to**님,비두 오고  나가서  저녁 먹기 그래서  요기 이 어플 깔아서 좋아하는 거 시켰는데  맛 완존짱딱 내 스타일 맛도 좋지만  푸짐하게 주셔서  담날 아침도  이걸루 해결  1개 갔다  2번 먹었습니다 꽃돼지 한식   음식 맛  괜찮으니  한식 좋아하니 분들 여기 믿고 시키셔두됍니다,4
14,한식,꽃돼지한식,ka**님,실망이 좀 있었는데 배고파서 ,3
15,한식,꽃돼지한식,hw**님,love this restaurant,5
16,한식,꽃돼지한식,bu**님,배달 빨라요 양도 많고 반찬 김치전 푸짐하게 와서 배불리 잘 먹었습니다,5
17,한식,꽃돼지한식,pi**님,죽 전문점이 아님에도 받고 하루 있다 먹었음에도 너무 맛있게 잘 먹었어요 감사합니다,5
18,한식,꽃돼지한식,04**님,뻘건 죽인 줄 알았는데 허옇더라고요 그래도 맛있었어요,5
19,한식,꽃돼지한식,mo**님,얼큰이래서 빨간 건 줄 알았는데 아니네요 그래도 맛있게 잘 먹었습니다,5
20,한식,꽃돼지한식,fk**님,항상 잘 먹고 있습니다,5
21,한식,꽃돼지한식,je**님,님 좀 최고인 듯 10자 압박,5
22,한식,꽃돼지한식,eh**님,맛있게 잘 먹었습니다,5
23,한식,꽃돼지한식,hw**님,the food is delcious,5
24,한식,꽃돼지한식,pi**님,배달이 너무 느려 요요기요 익스프레스 사용하면 좋을 텐데,4
25,한식,꽃돼지한식,er**님,두 명이서 각 비빔밥  청국장을 시켜 먹었습니다 개인적으로 청국장은 간은 센데 건더기에 비해 물이 너무 많았습니다고 기 잡내는 따로 없었습니다 끄덕하고 비벼 먹기 좋은 청국장을 시키실 분은 참고하세요 비빔밥을 먹은 분도 짜서 아쉽다고 하네요 구성이 집에서 따로 반찬 꺼내서 비빈 것에 비해 특색이 없어 아쉬웠습니다 아마 여름이라 사장님께서 고려한 맛일지 모르겠습니다,5
26,한식,꽃돼지한식,gr**님,맛있게 먹었어요,5
27,한식,꽃돼지한식,12**님,오 처음 시켰는데 기성 비갑 맛있어요 김치부침개도 주시고 밑반찬에 장국까지 담에 또 시킬게요,5
28,한식,꽃돼지한식,ia**님,잘 먹었습니다 감사합니다,5
