,category,store,id,review_spell_check,star
0,일식,스시란-안양점,li**님,시간 내에 배달 왔어요 맛있게 먹겠습니다 사장님 김치는 상태 점검하셔야 할거 같아요,5
1,일식,스시란-안양점,tk**님,사장님 매번 잘 먹었는데 어제는 약간 아쉬웠어요 하지만 다음에 또 뵈어요,5
2,일식,스시란-안양점,tn**님,믿고 먹는 스시란,5
3,일식,스시란-안양점,he**님,사실 밤늦게 배고픈데 기름진 건 먹기 싫고 그래서 처음으로 주문해봤는데 양이 진짜 많더라고요 짱 포장도 이중으로 해주셔서 새 거나 흘리지 않았던 것 같아요 동생은 몇 번 여기서 먹어봤는데 초밥이 맛있다고 해서 나중엔 꼭 초밥 시켜 먹어볼게요,5
4,일식,스시란-안양점,du**님,너무 맛있게 잘 먹었습니다,5
5,일식,스시란-안양점,gi**님,진짜 너무 맛있었습니다 번창하세요,5
6,일식,스시란-안양점,ye**님,기사분이 문자를 안 주셔서 언제 놓고 갔는지 모르겠어요  맛은 그냥 그랬어요,3
7,일식,스시란-안양점,ye**님,잘 먹었습니다 지난번에 한번 시켜 먹고 생각나서 또 시켰어요  서비스도 감사합니다,5
8,일식,스시란-안양점,rl**님,깔끔하게 포장되어서 오고 맛있었습니다 배달도 빨리 왔어요,5
9,일식,스시란-안양점,wo**님,항상 믿고 시킵니다 맛있어요,5
10,일식,스시란-안양점,vi**님,너무 맛있어요 감사합니다,5
11,일식,스시란-안양점,xx**님,가락국수랑 같이 시켰는데 배달이 너무 늦게 와서 회가 익었네요 이게 대체 뭘까요 진짜,1
12,일식,스시란-안양점,in**님,깔끔하고 배달도 빠르네요 최고,5
13,일식,스시란-안양점,he**님,양도 적당하고 회도 두껍고 아주 맛있었어요 초밥도 맛있고 1인 생선회도 너무 맛있고 좋아요,5
14,일식,스시란-안양점,ru**님,항상 맛있게 먹고 있습니다  오늘은 소고기 초밥 고기가 더 길고 두꺼워서 대만족했어요 개인적으로 최애 초밥이라서 회도 두껍고 실하더라고요 샐러드 회 무침도 매번 너무 맛있어요 구성이 최고입니다 고민 중이신 분들은 꼭 주문해서 맛보세요,5
15,일식,스시란-안양점,sk**님,마시어 용 회 무침 리뷰 신청했는데 회없는 야채무침이 왔어요 그래도 맛있어요,5
16,일식,스시란-안양점,fl**님,기본 세트나 특선세트나 다 맛있네요 주신 죽도 맛있게 먹었습니다,5
17,일식,스시란-안양점,an**님,맛있게 잘 먹었습니다,5
