,category,store,id,review_spell_check,star
0,한식,웅이네오돌뼈닭발도-금정동,ra**님,처음 시켜봤는데 너무 맛있어요 엄마랑 제가 워낙 잘 먹어서 양이 적을 줄 알았는데 정말 배부르게 먹었습니다 매운 거 못 드시는 분들은 쿨피스나 계란찜 더 시키시는 게 좋을 것 같아요,5
1,한식,웅이네오돌뼈닭발도-금정동,pc**님,먹다 보니 사진을 못 찍었습니다 맛 좋고 잘 먹었어요,5
2,한식,웅이네오돌뼈닭발도-금정동,he**님,맛있어요 또 시켜 목어야 자,5
3,한식,웅이네오돌뼈닭발도-금정동,je**님,맛읶게 잘 먹었네요 믿고 먹어요 ,5
4,한식,웅이네오돌뼈닭발도-금정동,ti**님,두 번째인데 오늘이  정말 맛있었어요,5
5,한식,웅이네오돌뼈닭발도-금정동,bs**님,양파가 덜 익어서 매웠어요 그거 빼고는 맛있어요 너무 배고파서 한 컷 만,4
6,한식,웅이네오돌뼈닭발도-금정동,du**님,항상 잘 먹고 있습니다 맛있어요,5
7,한식,웅이네오돌뼈닭발도-금정동,ch**님,말해 뭐 해 너무 맛있었어요,5
8,한식,웅이네오돌뼈닭발도-금정동,ha**님,배송도 빠르고 양도 푸짐하도 맛있네요 잘 먹었습니다_____,5
9,한식,웅이네오돌뼈닭발도-금정동,co**님,양파가 너무 많아요,5
10,한식,웅이네오돌뼈닭발도-금정동,fl**님,맛있어요 고기가 괜찮아요 비계 너무 많이 있으면 싫은데 거의 없고 맛있었어요,5
11,한식,웅이네오돌뼈닭발도-금정동,12**님,밥이 너무 질어 김가루랑 비벼지지도 않고 떡 같아요 계란찜이 아니라 계란 국이네요 가격을 좀 올리더라도 제대로 해주심 좋겠네요 오도독뼈도 느끼하고 매콤한 맛도 없고 맛있는 한 끼 기대했는데 틀렸네요,4
12,한식,웅이네오돌뼈닭발도-금정동,si**님,무뼈닭발 매콤하고 맛있어요 음료는 콜라나 사이다로 선택할 수 있으면 좋겠어요,4
13,한식,웅이네오돌뼈닭발도-금정동,pi**님,맛있게 잘 먹었습니다 ,4
14,한식,웅이네오돌뼈닭발도-금정동,pk**님,야식으로 먹으면 넘고 맛있어요,5
15,한식,웅이네오돌뼈닭발도-금정동,lu**님,계란 국 그제가 아는 그 계란찜이 아니고 약간 계란 국이 왔네요 잘못 만든 게 딱 봐도 보였을 텐데 그냥 보내주셨네요🤦‍♀️여기 계란찜 때문에 시키는 건데🥲,5
16,한식,웅이네오돌뼈닭발도-금정동,mi**님,배달 감사합니다 맛있겜었어요,4
17,한식,웅이네오돌뼈닭발도-금정동,sy**님,첨 먹어봤는데 존 만,5
18,한식,웅이네오돌뼈닭발도-금정동,ta**님,불 향도 나고 맛은 괜찮습니다오돌뼈에가 맛있어서 기대치가 높아서인지 생각보다는 기대치에 못 미치는 것 같습니다,4
19,한식,웅이네오돌뼈닭발도-금정동,sd**님,너무 맛있게 먹었어요 하나도 안 남기고 다 먹어서 배가 터지려고 해요,5
20,한식,웅이네오돌뼈닭발도-금정동,03**님,맛있네요 추천합니다,5
